Date,AAPL.Close,TSLA.Close,^NSEI.Close,AAPL.High,TSLA.High,^NSEI.High,AAPL.Low,TSLA.Low,^NSEI.Low,AAPL.Open,TSLA.Open,^NSEI.Open,AAPL.Volume,TSLA.Volume,^NSEI.Volume
2025-12-05,278.26300048828125,455.0,26186.44921875,280.6186397013617,458.8699951171875,26202.599609375,277.53434330937836,451.6600036621094,25985.349609375,280.01974631085085,453.0299987792969,25999.80078125,47265800.0,56427500.0,249300.0
2025-12-08,277.3746643066406,439.5799865722656,25960.55078125,279.15136205700173,449.75,26178.69921875,275.6378704438954,435.25,25892.25,277.6142094762677,447.45001220703125,26159.80078125,38211800.0,69165800.0,320700.0
2025-12-09,276.6659851074219,445.1700134277344,25839.650390625,279.5107061083118,452.3900146484375,25923.650390625,276.4064879695729,435.70001220703125,25728.0,277.6441787437343,437.5400085449219,25867.099609375,32193300.0,62367400.0,276000.0
2025-12-10,278.26300048828125,451.45001220703125,25758.0,279.2312028389952,456.8800048828125,25947.650390625,275.92734368017386,443.6099853515625,25734.55078125,277.23491184461454,446.07000732421875,25864.05078125,33038300.0,63257500.0,207900.0
2025-12-11,277.514404296875,446.8900146484375,25898.55078125,279.07150890817053,449.2699890136719,25922.80078125,273.3022288840155,440.3299865722656,25693.25,278.5824273392719,448.95001220703125,25771.400390625,33248000.0,55979500.0,206100.0
2025-12-12,277.763916015625,458.9599914550781,26046.94921875,278.70217518025987,463.010009765625,26057.599609375,276.30663218031253,441.6700134277344,25938.44921875,277.38461586894516,448.0899963378906,25971.19921875,39532900.0,95656700.0,216300.0
2025-12-15,273.6016540527344,475.30999755859375,26027.30078125,279.63046152672615,481.7699890136719,26047.150390625,272.33402020742307,467.6600036621094,25904.75,279.63046152672615,469.44000244140625,25930.05078125,50409100.0,114542200.0,181600.0
2025-12-16,274.1007385253906,489.8800048828125,25860.099609375,274.9891026980292,491.5,25980.75,271.2859911871425,465.8299865722656,25834.349609375,272.3140798989353,472.2099914550781,25951.5,37648600.0,107608100.0,264400.0
2025-12-17,271.33587646484375,467.260009765625,25818.55078125,275.6478724530811,495.2799987792969,25929.150390625,271.13626563598973,466.20001220703125,25770.349609375,274.50001118897205,488.2200012207031,25902.400390625,50138700.0,106490400.0,206500.0
2025-12-18,271.68524169921875,483.3699951171875,25815.55078125,273.12257373871984,490.8599853515625,25902.349609375,266.4549687260805,473.1199951171875,25726.30078125,273.1025913325419,478.1600036621094,25764.69921875,51630700.0,95168400.0,197600.0
2025-12-19,273.1625061035156,481.20001220703125,25966.400390625,274.09077415448866,490.489990234375,25993.349609375,269.399477884542,474.7200012207031,25880.44921875,271.6453053723066,488.1199951171875,25911.5,144632000.0,103305400.0,382900.0
2025-12-22,270.4674987792969,488.7300109863281,26172.400390625,273.37210596231955,498.8299865722656,26180.69921875,270.00836035897595,485.3299865722656,26047.80078125,272.3539780142796,489.8800048828125,26055.849609375,36571800.0,86916100.0,253000.0
2025-12-23,271.85491943359375,485.55999755859375,26177.150390625,271.99467443806464,491.9700012207031,26233.55078125,269.06012395403746,482.8399963378906,26119.05078125,270.3377490962612,489.3999938964844,26205.19921875,29642000.0,58223600.0,216600.0
2025-12-24,273.3022155761719,485.3999938964844,26142.099609375,274.9192064044749,490.8999938964844,26236.400390625,271.69521595033444,476.79998779296875,26123.0,271.8349404799371,488.4800109863281,26170.650390625,17910600.0,41285400.0,188800.0
